time,counts
17-Jan-2021 (22:49:58.120445),2147453945
17-Jan-2021 (22:49:58.121023),2147449670
17-Jan-2021 (22:49:58.121538),2147449086
17-Jan-2021 (22:49:58.122045),2147450372
17-Jan-2021 (22:49:58.122318),2147449000
17-Jan-2021 (22:49:58.122519),2147450653
17-Jan-2021 (22:49:58.122719),2147449839
17-Jan-2021 (22:49:58.122918),2147450907
17-Jan-2021 (22:49:58.123117),2147450588
17-Jan-2021 (22:49:58.123314),2147452284
17-Jan-2021 (22:49:58.123513),2147451111
17-Jan-2021 (22:49:58.123711),2147450405
17-Jan-2021 (22:49:58.123908),2147452161
17-Jan-2021 (22:49:58.124105),2147448464
17-Jan-2021 (22:49:58.124304),2147451145
17-Jan-2021 (22:49:58.124501),2147450612
17-Jan-2021 (22:49:58.124698),2147453858
17-Jan-2021 (22:49:58.124895),2147449678
17-Jan-2021 (22:49:58.125091),2147449976
17-Jan-2021 (22:49:58.125287),2147448390
17-Jan-2021 (22:49:58.125484),2147450167
17-Jan-2021 (22:49:58.125682),2147448297
17-Jan-2021 (22:49:58.125879),2147449701
17-Jan-2021 (22:49:58.126076),2147450831
17-Jan-2021 (22:49:58.126273),2147450506
17-Jan-2021 (22:49:58.126470),2147450667
17-Jan-2021 (22:49:58.126667),2147450349
17-Jan-2021 (22:49:58.126863),2147449026
17-Jan-2021 (22:49:58.127059),2147450540
17-Jan-2021 (22:49:58.127255),2147449604
17-Jan-2021 (22:49:58.127450),2147449390
17-Jan-2021 (22:49:58.127647),2147450430
17-Jan-2021 (22:49:58.127842),2147452271
17-Jan-2021 (22:49:58.128063),2147452247
17-Jan-2021 (22:49:58.128261),2147447090
17-Jan-2021 (22:49:58.128457),2147447367
17-Jan-2021 (22:49:58.128655),2147449223
17-Jan-2021 (22:49:58.128851),2147451072
17-Jan-2021 (22:49:58.129049),2147451619
17-Jan-2021 (22:49:58.129245),2147449235
17-Jan-2021 (22:49:58.129442),2147452607
17-Jan-2021 (22:49:58.129637),2147449570
17-Jan-2021 (22:49:58.129833),2147448712
17-Jan-2021 (22:49:58.130029),2147446619
17-Jan-2021 (22:49:58.130226),2147452337
17-Jan-2021 (22:49:58.130421),2147449992
17-Jan-2021 (22:49:58.130617),2147450141
17-Jan-2021 (22:49:58.130812),2147452951
17-Jan-2021 (22:49:58.131006),2147451067
17-Jan-2021 (22:49:58.131201),2147448860
17-Jan-2021 (22:49:58.131397),2147450319
17-Jan-2021 (22:49:58.131592),2147448660
17-Jan-2021 (22:49:58.131787),2147449952
17-Jan-2021 (22:49:58.131983),2147450329
17-Jan-2021 (22:49:58.132179),2147450626
17-Jan-2021 (22:49:58.132375),2147449350
17-Jan-2021 (22:49:58.132570),2147450729
17-Jan-2021 (22:49:58.132766),2147451040
17-Jan-2021 (22:49:58.132962),2147448767
17-Jan-2021 (22:49:58.133158),2147449969
17-Jan-2021 (22:49:58.133353),2147450936
17-Jan-2021 (22:49:58.133549),2147452700
17-Jan-2021 (22:49:58.133744),2147450940
17-Jan-2021 (22:49:58.133942),2147450872
17-Jan-2021 (22:49:58.134138),2147450524
17-Jan-2021 (22:49:58.134334),2147452332
17-Jan-2021 (22:49:58.134529),2147451252
17-Jan-2021 (22:49:58.134726),2147448289
17-Jan-2021 (22:49:58.134924),2147452612
17-Jan-2021 (22:49:58.135120),2147450723
