time,counts
20-Jan-2021 (22:32:19.242866),2147448086.3928
20-Jan-2021 (22:32:21.048928),2147448098.7843
20-Jan-2021 (22:32:21.060891),2147448092.2683
20-Jan-2021 (22:32:22.861947),2147448086.79
20-Jan-2021 (22:32:22.872886),2147448110.6349
20-Jan-2021 (22:32:24.673862),2147448073.0879
20-Jan-2021 (22:32:26.481789),2147448089.5582
20-Jan-2021 (22:32:26.491817),2147448096.251
20-Jan-2021 (22:32:28.223809),2147448114.7149
20-Jan-2021 (22:32:28.234772),2147448068.2843
20-Jan-2021 (22:32:30.037167),2147448096.5555
20-Jan-2021 (22:32:31.845346),2147448077.1221
20-Jan-2021 (22:32:31.856312),2147448089.1496
20-Jan-2021 (22:32:33.658850),2147448107.3041
20-Jan-2021 (22:32:33.668818),2147448081.5744
20-Jan-2021 (22:32:35.470773),2147448075.1446
20-Jan-2021 (22:32:35.481747),2147448074.3345
20-Jan-2021 (22:32:37.213548),2147448092.5607
20-Jan-2021 (22:32:39.021581),2147448115.6307
20-Jan-2021 (22:32:39.032554),2147448118.4223
20-Jan-2021 (22:32:40.833491),2147448103.1656
20-Jan-2021 (22:32:40.844484),2147448078.4853
20-Jan-2021 (22:32:42.646619),2147448092.3962
20-Jan-2021 (22:32:44.454622),2147448076.0491
20-Jan-2021 (22:32:44.465674),2147448079.216
20-Jan-2021 (22:32:46.197930),2147448131.8554
20-Jan-2021 (22:32:46.207936),2147448088.6135
20-Jan-2021 (22:32:48.009633),2147448106.6892
20-Jan-2021 (22:32:48.020614),2147448085.9305
20-Jan-2021 (22:32:49.823568),2147448099.0086
20-Jan-2021 (22:32:51.629604),2147448089.0499
20-Jan-2021 (22:32:51.640435),2147448072.0153
20-Jan-2021 (22:32:53.443232),2147448099.6754
20-Jan-2021 (22:32:53.453260),2147448077.7412
20-Jan-2021 (22:32:55.186309),2147448069.5223
20-Jan-2021 (22:32:56.993590),2147448064.3076
20-Jan-2021 (22:32:57.003479),2147448083.0526
20-Jan-2021 (22:32:58.806607),2147448094.9228
20-Jan-2021 (22:32:58.816632),2147448087.5818
20-Jan-2021 (22:33:00.620098),2147448103.1501
20-Jan-2021 (22:33:02.426895),2147448092.3926
20-Jan-2021 (22:33:02.436868),2147448061.5545
20-Jan-2021 (22:33:04.171230),2147448123.7615
20-Jan-2021 (22:33:04.182200),2147448104.1438
20-Jan-2021 (22:33:05.981820),2147448097.0299
20-Jan-2021 (22:33:05.992791),2147448093.5626
20-Jan-2021 (22:33:07.796588),2147448065.4423
20-Jan-2021 (22:33:09.603820),2147448081.9219
20-Jan-2021 (22:33:09.613793),2147448090.9304
20-Jan-2021 (22:33:11.416042),2147448071.8526
20-Jan-2021 (22:33:11.426016),2147448091.9298
20-Jan-2021 (22:33:13.158977),2147448090.6949
20-Jan-2021 (22:33:14.966065),2147448094.997
20-Jan-2021 (22:33:14.978033),2147448080.5649
20-Jan-2021 (22:33:16.779815),2147448098.2295
20-Jan-2021 (22:33:16.790785),2147448082.7034
20-Jan-2021 (22:33:18.591458),2147448079.9617
20-Jan-2021 (22:33:18.602455),2147448085.2913
20-Jan-2021 (22:33:20.405059),2147448074.4075
20-Jan-2021 (22:33:22.211373),2147448099.4736
20-Jan-2021 (22:33:22.225338),2147448072.3749
